date,time,park,land,attraction,wait_time,is_open
2026-07-01,08:22,Disney Adventure World,Production Courtyard,The Twilight Zone Tower of Terror,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Cars Quatre Roues Rallye,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Cars ROAD TRIP,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Crush's Coaster,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Crush's Coaster Single Rider,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Les Tapis Volants - Flying Carpets Over Agrabah®,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Ratatouille : L’Aventure Totalement Toquée de Rémy​,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Ratatouille: The Adventure Single Rider,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,RC Racer,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,RC Racer Single Rider,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Slinky® Dog Zigzag Spin,0,False
2026-07-01,08:22,Disney Adventure World,Toon Studio,Toy Soldiers Parachute Drop,0,False
